site_ID,site,plot,rep,treatment,yr,core.n,sample.n,yr_core,yr_core_sample,core_sample,vol.sample,DO.mgl,vol.added,notes,pH,date.time,temp.C,tech,id.core_sample,id.core_date,SRP.mgl,Timestamp,Specific Conductance (uS/cm),Dissolved Oxygen (mg/L),ORP_1 (mV),pH_1 (units),Temperature (C),pH_1 (Units),Comment,Folder,Unit ID,site.plot.trt.rep,site.name,site.n,site.plot,radius,azimuth,date.collect,Label,H.add (cm),Notes,site.plot.treatment.rep,site.plot.rep,n,sample.date,label,start_time,prev_time,prev_SRP,Days Elapsed,dt,dSRPdt,Flux,do,temp,ph,siteB
Ke.1,Ke,1,1,O2,18,1,0,y18c1,y18c1s0,c1s0,5,NA,NA,NA,NA,2018-07-25T20:00:00Z,NA,NA,2018.1s-1,1 2018-07-25,0.0103,2018-07-25T20:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-25T20:00:00Z,0.0103,0,0,NA,NA,NA,NA,NA,Ke
Ke.1,Ke,1,1,O2,18,1,1,y18c1,y18c1s1,c1s1,5,4.41,NA,NA,7,2018-07-25T20:40:00Z,20.4,NA,2018.1s0,1 2018-07-25,0.020269,2018-07-25T20:40:00Z,NA,4.41,NA,7,20.4,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-25T20:00:00Z,0.0103,0.027777778,0.027777778,0.358884,0.0717768,4.41,20.4,7,Ke
Ke.1,Ke,1,1,O2,18,1,2,y18c1,y18c1s2,c1s2,5,NA,NA,NA,NA,2018-07-26T18:20:00Z,20.4,NA,2018.1s1,1 2018-07-26,0.016825,2018-07-26T18:20:00Z,NA,NA,NA,NA,20.4,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-25T20:40:00Z,0.020269,0.930555556,0.902777778,-0.003814892,-7.63E-04,NA,20.4,NA,Ke
Ke.1,Ke,1,1,O2,18,1,3,y18c1,y18c1s3,c1s3,5,6.8,NA,NA,8.1,2018-07-26T22:00:00Z,20.6,NA,2018.1s2,1 2018-07-26,0.018679,2018-07-26T22:00:00Z,NA,6.8,NA,8.1,20.6,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-26T18:20:00Z,0.016825,1.083333333,0.152777778,0.012135273,0.002427055,6.8,20.6,8.1,Ke
Ke.1,Ke,1,1,O2,18,1,4,y18c1,y18c1s4,c1s4,5,5.54,NA,NA,7.83,2018-07-27T16:58:00Z,21.1,NA,2018.1s3,1 2018-07-27,0.018017,2018-07-27T16:58:00Z,NA,5.54,NA,7.83,21.1,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-26T22:00:00Z,0.018679,1.873611111,0.790277778,-8.38E-04,-1.68E-04,5.54,21.1,7.83,Ke
Ke.1,Ke,1,1,O2,18,1,5,y18c1,y18c1s5,c1s5,5,5.45,NA,NA,7.87,2018-07-28T23:50:00Z,21,NA,2018.1s4,1 2018-07-28,0.021064,2018-07-28T23:50:00Z,NA,5.45,NA,7.87,21,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-27T16:58:00Z,0.018017,3.159722222,1.286111111,0.002369158,4.74E-04,5.45,21,7.87,Ke
Ke.1,Ke,1,1,O2,18,1,6,y18c1,y18c1s6,c1s6,5,6.3,NA,NA,7.67,2018-07-30T00:00:00Z,22.3,NA,2018.1s5,1 2018-07-29,0.020799,2018-07-30T00:00:00Z,NA,6.3,NA,7.67,22.3,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-28T23:50:00Z,0.021064,4.166666667,1.006944444,-2.63E-04,-5.26E-05,6.3,22.3,7.67,Ke
Ke.1,Ke,1,1,O2,18,1,7,y18c1,y18c1s7,c1s7,5,5.48,NA,NA,7.71,2018-07-30T22:00:00Z,20.2,NA,2018.1s6,1 2018-07-30,NA,2018-07-30T22:00:00Z,NA,5.48,NA,7.71,20.2,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-30T00:00:00Z,0.020799,5.083333333,0.916666667,NA,NA,5.48,20.2,7.71,Ke
Ke.1,Ke,1,1,O2,18,1,8,y18c1,y18c1s8,c1s8,5,6.58,NA,NA,8.02,2018-07-31T19:02:00Z,20.4,NA,2018.1s7,1 2018-07-31,0.021858,2018-07-31T19:02:00Z,NA,6.58,NA,8.02,20.4,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-30T22:00:00Z,NA,5.959722222,0.876388889,NA,NA,6.58,20.4,8.02,Ke
Ke.1,Ke,1,1,O2,18,1,9,y18c1,y18c1s9,c1s9,5,5.5,NA,NA,NA,2018-08-01T17:10:00Z,20.4,NA,2018.1s8,1 2018-08-01,NA,2018-08-01T17:10:00Z,NA,5.5,NA,N/A,20.4,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-31T19:02:00Z,0.021858,6.881944444,0.922222222,NA,NA,5.5,20.4,NA,Ke
Ke.1,Ke,1,1,O2,18,1,10,y18c1,y18c1s10,c1s10,5,5.48,NA,NA,7.64,2018-08-02T19:50:00Z,20.8,NA,2018.1s9,1 2018-08-02,0.020799,2018-08-02T19:50:00Z,NA,5.48,NA,7.64,20.8,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-08-01T17:10:00Z,NA,7.993055556,1.111111111,NA,NA,5.48,20.8,7.64,Ke
Ke.1,Ke,1,1,O2,18,1,11,y18c1,y18c1s11,c1s11,5,6.19,NA,NA,NA,2018-08-03T18:20:00Z,20.6,NA,2018.1s10,1 2018-08-03,NA,2018-08-03T18:20:00Z,NA,6.19,NA,N/A,20.6,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-08-02T19:50:00Z,0.020799,8.930555556,0.9375,NA,NA,6.19,20.6,NA,Ke
Ke.1,Ke,1,1,O2,18,1,12,y18c1,y18c1s12,c1s12,5,6.08,NA,NA,7.21,2018-08-06T17:36:00Z,21.5,NA,2018.1s11,1 2018-08-06,0.030866,2018-08-06T17:36:00Z,NA,6.08,NA,7.21,21.5,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-08-03T18:20:00Z,NA,11.9,2.969444444,NA,NA,6.08,21.5,7.21,Ke
Ke.1,Ke,1,1,O2,18,1,13,y18c1,y18c1s13,c1s13,5,5.64,NA,NA,7.24,2018-08-08T18:04:00Z,20.9,NA,2018.1s12,1 2018-08-08,NA,2018-08-08T18:04:00Z,NA,5.64,NA,7.24,20.9,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-08-06T17:36:00Z,0.030866,13.91944444,2.019444444,NA,NA,5.64,20.9,7.24,Ke
Ke.1,Ke,1,1,O2,18,1,14,y18c1,y18c1s14,c1s14,5,6.4,NA,NA,NA,2018-08-10T15:36:00Z,21.1,NA,2018.1s13,1 2018-08-10,0.037225,2018-08-10T15:36:00Z,NA,6.4,NA,NA,21.1,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-08-08T18:04:00Z,NA,15.81666667,1.897222222,NA,NA,6.4,21.1,NA,Ke
Ke.1,Ke,1,1,O2,18,1,15,y18c1,y18c1s15,c1s15,5,5.65,NA,NA,NA,2018-08-12T21:30:00Z,21.7,NA,2018.1s14,1 2018-08-12,NA,2018-08-12T21:30:00Z,NA,5.65,NA,NA,21.7,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-08-10T15:36:00Z,0.037225,18.0625,2.245833333,NA,NA,5.65,21.7,NA,Ke
Ke.1,Ke,1,1,O2,18,1,16,y18c1,y18c1s16,c1s16,5,8.66,NA,NA,NA,2018-08-14T21:03:00Z,20.8,NA,2018.1s15,1 2018-08-14,NA,2018-08-14T21:03:00Z,NA,8.66,NA,NA,20.8,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-08-12T21:30:00Z,NA,20.04375,1.98125,NA,NA,8.66,20.8,NA,Ke
Ke.1,Ke,1,1,O2,18,1,17,y18c1,y18c1s17,c1s17,5,8.14,NA,NA,7.26,2018-08-16T15:06:00Z,21.1,NA,2018.1s16,1 2018-08-16,NA,2018-08-16T15:06:00Z,NA,8.14,NA,7.26,21.1,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-08-14T21:03:00Z,NA,21.79583333,1.752083333,NA,NA,8.14,21.1,7.26,Ke
Ke.1,Ke,1,1,O2,18,1,18,y18c1,y18c1s18,c1s18,5,5.91,NA,NA,7.23,2018-08-18T12:06:00Z,21.5,NA,2018.1s17,1 2018-08-18,NA,2018-08-18T12:06:00Z,NA,5.91,NA,7.23,21.5,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-08-16T15:06:00Z,NA,23.67083333,1.875,NA,NA,5.91,21.5,7.23,Ke
Ke.1,Ke,1,2,O2,18,2,0,y18c2,y18c2s0,c2s0,5,NA,NA,NA,NA,2018-07-25T20:00:00Z,NA,NA,2018.2s-1,2 2018-07-25,0.0103,2018-07-25T20:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-25T20:00:00Z,0.0103,0,0,NA,NA,NA,NA,NA,Ke
Ke.1,Ke,1,2,O2,18,2,1,y18c2,y18c2s1,c2s1,5,4.8,NA,NA,6.95,2018-07-25T20:48:00Z,20.4,NA,2018.2s0,2 2018-07-25,0.009635837,2018-07-25T20:48:00Z,NA,4.8,NA,6.95,20.4,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-25T20:00:00Z,0.0103,0.033333333,0.033333333,-0.01992489,-0.003984978,4.8,20.4,6.95,Ke
Ke.1,Ke,1,2,O2,18,2,2,y18c2,y18c2s2,c2s2,5,NA,NA,NA,NA,2018-07-26T18:22:00Z,20.4,NA,2018.2s1,2 2018-07-26,0.009119227,2018-07-26T18:22:00Z,NA,NA,NA,NA,20.4,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-25T20:48:00Z,0.009635837,0.931944444,0.898611111,-5.75E-04,-1.15E-04,NA,20.4,NA,Ke
Ke.1,Ke,1,2,O2,18,2,3,y18c2,y18c2s3,c2s3,5,8,NA,NA,8.19,2018-07-26T22:00:00Z,20.6,NA,2018.2s2,2 2018-07-26,0.010410752,2018-07-26T22:00:00Z,NA,8,NA,8.19,20.6,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-26T18:22:00Z,0.009119227,1.083333333,0.151388889,0.008531174,0.001706235,8,20.6,8.19,Ke
Ke.1,Ke,1,2,O2,18,2,4,y18c2,y18c2s4,c2s4,5,5.48,NA,NA,7.98,2018-07-27T17:00:00Z,21.1,NA,2018.2s3,2 2018-07-27,0.013639565,2018-07-27T17:00:00Z,NA,5.48,NA,7.98,21.1,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-26T22:00:00Z,0.010410752,1.875,0.791666667,0.004078501,8.16E-04,5.48,21.1,7.98,Ke
Ke.1,Ke,1,2,O2,18,2,5,y18c2,y18c2s5,c2s5,5,5.32,NA,NA,7.68,2018-07-28T23:52:00Z,21,NA,2018.2s4,2 2018-07-28,0.012735498,2018-07-28T23:52:00Z,NA,5.32,NA,7.68,21,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-27T17:00:00Z,0.013639565,3.161111111,1.286111111,-7.03E-04,-1.41E-04,5.32,21,7.68,Ke
Ke.1,Ke,1,2,O2,18,2,6,y18c2,y18c2s6,c2s6,5,5.98,NA,NA,7.67,2018-07-30T00:02:00Z,22.3,NA,2018.2s5,2 2018-07-29,0.015835158,2018-07-30T00:02:00Z,NA,5.98,NA,7.67,22.3,NA,NA,NA,NA,NA,NA,NA,KE.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-25T20:00:00Z,2018-07-28T23:52:00Z,0.012735498,4.168055556,1.006944444,0.003078283,6.16E-04,5.98,22.3,7.67,Ke
