site.plot,Hydrogroup,HSG_2,lat,lon,site,B,plot,rep,siteB,site.plot.rep,depth,count_n,count_y,count_c,count_h,count_obs,frac_farmed,last_yr_y,first_yr_n,last_yr_farmed,last_yr_range,sample.type,date.collected,smpl.yr,YSF,treatment,BD,MC60,WEPw,TP.ign,HCl.Pi,HCl.Po,LOI,Ox.P,Ox.Al,Ox.Fe,Ox.Mn,Ox.PSR,Ox.SPSC,sand,silt,clay,texture,fines,Ox.PSC,Ox.DPS,Ox.P2Fe,WFPS,Ox.P2Al,Ox.Al2Fe,HCl.PSR,MM.P,MM.P.ICP,MM.K,MM.Mg,MM.Ca,MM.Al,MM.B,MM.Cu,MM.Fe,MM.Mn,MM.Na,MM.S,MM.Zn,IP2TP,prior,farm_group,site_ID,study,FF,TP,Pi,Po,Pi2TP,OBJECTID,IDN,sample_date,project,Land_Use,LU_HSG,Transect,TPMD,TOP,Total_Inorganic,F__N,F__C,pH,TEXTURE,HSG,Al,Ca,Cu,Fe,K,Mg,Mn,Na,S,F39,F40,F41,F42,Value,sampledate,sample_yr
MS.FW,D,D,44.95222786,-72.83517561,MS,FW,FW,NA,MSFW,MS.FW.,0-10cm,0,12,0,0,12,1,2020,NA,2020,NA,surface plots,NA,2020.77222222222,0.772222222222126,CTRL,0.976669593472032,0.270934837144693,4.20518548387096,963.59606060606,1007.48052117263,-43.8844605665767,0.101010101010104,635.605503007401,1194.53258509737,1268.40562517601,NA,0.3065148088871498,-158.21861080894487,NA,NA,NA,NA,NA,2073.6534894188853,0.613029617774297,0.905223505232051,0.419060463481039,0.463438081658523,1.95327820707459,0.485848058180138,25.87,29.265,238.2,115.72,2080.27999999999,16.975,0.315,0.81,3.39,6.56499999999999,16.9,14.01,1.095,1.045542382706472,hay/pasture,>75%,MS.FW,Wiegman,1,963.59606060606,953.9600999999993,9.635960606060621,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCD.2,B/D,D,43.78125,-73.0973,OCD,NA,2,1,OCD,OCD.2.1,0-10cm,9,0,0,0,9,0,NA,1993,1993,pre-1993,intact cores,2019-07-09T00:00:00Z,2019.51944444444,26.5194444444443,CTRL,0.451406810358477,0.5636738059962179,0.18770725848895925,1019.2036506800154,294.45835600736154,724.745294672653,0.2687251784182339,689.8488295683235,2057.026719928214,5591.692553217242,217.58662215050543,0.1269634609824632,563.4634598358664,6.25500000000002,83.7449999999999,10,Silt,93.74499999999998,5457.172653993526,0.25392692196492567,0.22485654083496912,0.31490146298235705,0.29232787292113754,0.7678268604116124,0.05498536297360662,5.3124829607645605,13.737625246263756,104.47193492518662,193.69911052738345,1530.4743559764636,51.432952200827714,0.15607651019640334,1.315220669486037,157.23125925731043,60.297010529129494,35.08815221045977,31.47268914777636,4.341023899586136,0.28891022496916896,"uncertain
(unfarmed since 1995)",<25%,OCD.2,Wiegman,0,1019.2036506800154,294.45835600736154,724.7452946726538,0.28891022496916896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,D,D,44.911172,-72.927914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,0.05032772131649334,324.79999999999995,1523.9999999999998,4108,567.4,0.080718730584511,601.5519084051928,61.53333333333333,29.233333333333334,9.233333333333333,NA,NA,4023.849206349206,NA,NA,NA,NA,NA,NA,1.4236666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FTK-F,Perillo,0,457.2862333333333,312.65369121815553,144.63254211517778,0.6837155121401837,51,25,20150626,USGS-VWRLSC-2014,Forest,Forest_D,Interior,457.2862333333333,144.63254211517778,312.65369121815553,0.24608238566666665,2.919241375666667,5.433333333333333,Sandy loam,D,16824.26,2591.686049,10.031769229333333,15668.050280000001,3640.89,3805.119604333333,735.5464498,203.9374140333333,295.9273191666667,NA,NA,NA,NA,1,2015-06-26,2015
OCD.2,B/D,D,43.78125,-73.0973,OCD,NA,2,3,OCD,OCD.2.3,0-10cm,9,0,0,0,9,0,NA,1993,1993,pre-1993,intact cores,2019-07-09T00:00:00Z,2019.51944444444,26.5194444444443,CTRL,0.48132534041448094,0.5426549151273988,0.24635556711071202,1191.2393532633507,354.2537928587049,836.9855604046475,0.15257559425517797,626.9551244055766,1769.6856618812897,4900.6437324110875,206.59701533379072,0.13205023436649505,465.765823339855,6.25500000000002,83.7449999999999,10,Silt,93.74499999999998,4744.717667363756,0.26410046873298954,0.23103641004298237,0.3378401997514067,0.30829104883513175,0.7488867010872647,0.07451512870727797,5.180654733986456,13.544174476083532,101.74689802374006,190.4339960491197,1516.708760102479,51.670198992925876,0.15387570507489912,1.3433909750412918,158.44918481155085,59.287061058871195,35.16143902100586,31.127822985236655,4.222400503537058,0.29738254691489274,"uncertain
(unfarmed since 1995)",<25%,OCD.2,Wiegman,0,1191.2393532633507,354.2537928587049,836.9855604046459,0.29738254691489274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,A,A,44.906597,-73.042367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.03883089076870667,926,2390,3056,178.29999999999998,0.20875657828818986,95.18663042535555,69.66666666666667,23.2,7.1000000000000005,NA,NA,4435.78835978836,NA,NA,NA,NA,NA,NA,22.703333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CCR-F,Perillo,1,1107.0365213333334,828.1739643131931,86.74730963613241,0.7480999482435561,1,1,20150805,USGS-VWRLSC-2014,Corn,Corn_A,Interior,1107.0365213333334,86.74730963613241,828.1739643131931,0.18911886533333333,2.2523718543333335,6.6000000000000005,Sandy loam,A,10073.03039,6292.878879,30.81074648666667,13677.291896666668,1368.4423473333334,3179.7874506666667,340.1124777333333,188.59972213333333,335.51511913333337,NA,NA,NA,NA,7,2015-08-05,2015
MS.FE,D,D,44.95267188,-72.83421127,MS,FE,FE,NA,MSFE,MS.FE.,0-10cm,3,9,0,0,12,0.75,2020,1995,2020,2020-1995,surface plots,NA,2020.77222222222,0.772222222222126,CTRL,0.928750213033297,0.255902244082385,0.103084376261606,514.2432,300.466960784313,213.776239215686,0.0866666666666658,194.775860523647,855.375360302411,2264.32387133539,NA,0.08712610301221128,319.8850047614424,NA,NA,NA,NA,NA,2235.5626361062873,0.174252206024422,0.15538994745926,0.365910603791001,0.198326371435162,0.783506229326952,0.134403284404341,1.615,3.86,72.485,143.76,1559.1,39.855,0.125,0.81,16.865,6.795,18.7799999999999,15.6,1.9,0.5842896139109142,hay/pasture,>75%,MS.FE,Wiegman,0.75,514.2432,300.466960784313,213.77623921568699,0.5842896139109142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,B,B,44.970164,-72.318619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.08932899168362667,1019.2,3016.8,7208,213.36,0.1367342271263146,696.7968179643585,42.6,46.43333333333334,10.966666666666669,NA,NA,7453.876190476191,NA,NA,NA,NA,NA,NA,6.610833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HWM-F,Perillo,1,1238.0206666666666,771.1294123886049,831.2645712435315,0.6228728107300888,39,43,20150710,USGS-VWRLSC-2014,Hay,Hay_C,Interior,1238.0206666666666,831.2645712435315,771.1294123886049,0.4588289426666667,5.181496037333333,6.163333333333333,Loam,C,23874.91,4805.8099999999995,60.43,22331.596666666665,4138.993333333333,5630.110000000001,530.325,365.65333333333336,593.3066666666667,NA,NA,NA,NA,2,2015-07-10,2015
NA,C/D,D,44.862025,-73.043797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,0.06421273328873334,322.08,1329.6,3510.4,327.6,0.09282285969416229,476.72930813941394,49.73333333333334,38.43333333333333,11.866666666666667,NA,NA,3469.8349206349203,NA,NA,NA,NA,NA,NA,1.4988333333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FHB-F,Perillo,0,709.6067911333333,598.8485988510221,110.7581922823112,0.843916104430996,31,17,20150627,USGS-VWRLSC-2014,Forest,Forest_C,Interior,709.6067911333333,110.7581922823112,598.8485988510221,0.2933707403333334,3.724636501666667,6.126666666666668,Loam,C,20270.023333333334,4742.926666666666,28.573363333333333,24496.736666666664,4565.579333333334,5393.878333333333,614.6123666666667,227.9321,367.4710666666667,NA,NA,NA,NA,3,2015-06-27,2015
OCSP.4,B,B,43.91901,-73.1745,OCSP,NA,4,S,OCSP,OCSP.4.S,0-10cm,8,1,0,0,9,0.111111111111111,1995,2003,1995,1995-2003,intact cores,2019-07-09T00:00:00Z,2019.51944444444,24.5194444444443,CTRL,0.7042927506419545,0.28884208714764503,0.23859886291110433,986.2250397334702,396.6331534652367,589.5918862682331,0.08019605972001148,492.8340082921762,1157.4660880247711,4431.292465127174,209.58766880232773,0.13155428169136318,373.1341841598786,24.085,68.4149999999999,7.5,Silt loam,75.91499999999999,3781.9794458481797,0.2631085633827253,0.2044481003897242,0.28333269640347314,0.3712681790985651,0.5493807655547617,0.10595357672247491,3.3819355519631777,9.499688751849673,50.08515238744856,130.14410706524998,1028.9883436426933,39.17373949658444,0.07147274506922344,0.5539028760667302,73.59101197084101,33.77139045334766,15.684890001469604,13.106979144842194,1.6578126788356617,0.4021730715460518,hay/pasture,<25%,OCSP.4,Wiegman,0.111111111111111,986.2250397334702,396.6331534652367,589.5918862682336,0.4021730715460518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,B/D,D,44.910786,-72.868792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.0609817152966,688.5699999999999,1272.02,3304.6500000000005,370.09000000000003,0.20930278464612037,68.79877190797463,32,58.4,9.6,NA,NA,3289.8272288359794,NA,NA,NA,NA,NA,NA,13.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HKF-F,Perillo,1,1425.733,946.2043783350656,277.92367234099214,0.6636616942548609,15,31,20150717,USGS-VWRLSC-2014,Hay,Hay_B,Interior,1425.733,277.92367234099214,946.2043783350656,0.309603471,3.5372224649999997,6.156666666666666,Silt loam,B,22378.75333333333,5453.613333333334,70.21333333333332,28687.543333333335,3957.4166666666665,8831.003333333334,1047.8333333333333,470.19,624.1733333333334,NA,NA,NA,NA,5,2015-07-17,2015
Ke.1,B/D,D,43.81,-73.1497,Ke,1,1,NA,Ke1,Ke.1.,0-10cm,7,2,0,0,9,0.222222222222222,2003,2006,2003,2003-2006,intact cores,NA,2018.56388888888,15.5638888888888,CTRL,0.647148515344129,0.471646469552242,0.277218972422063,1352.5,627.5,725,0.113074204946996,799,1940,2820,53.6,0.21090259035156017,73.16603299251778,NA,NA,NA,NA,NA,3788.478835978836,0.42180518070312,0.511827956989247,0.403847756272735,0.358713002993016,1.42684528500131,0.165633761508891,7.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46395563770794823,hay/pasture,<25%,Ke.1,Wiegman,0.222222222222222,1352.5,627.5,725,0.46395563770794823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,B/D,D,44.970786,-73.168961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06058155076634666,363.28,967.2,3724.8,298.08,0.11451152588370443,367.06252814062486,34.56666666666667,55.76666666666667,9.666666666666668,NA,NA,3172.431746031746,NA,NA,NA,NA,NA,NA,3.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WLR-F,Perillo,NA,879.3186101333334,743.5077886148903,135.81082151844305,0.8455499292823453,58,50,20150722,USGS-VWRLSC-2014,Wetland,Wetland_D,Interior,879.3186101333334,135.81082151844305,743.5077886148903,0.258891374,3.514011065333333,7.4433333333333325,Silt loam,D,18355.864803333334,15087.857342999998,16.537294396666667,21765.63404666667,3427.0046653333334,6996.75067,658.5136663666667,329.1810671,534.0706256333333,NA,NA,NA,NA,5,2015-07-22,2015
