siteB,lat,lon,count_n,count_y,count_c,count_h,count_obs,frac_farmed,last_yr_y,first_yr_n,last_yr_farmed,smpl.yr,YSF,BD,MC60,WEPw,TP.ign,HCl.Pi,HCl.Po,LOI,Ox.P,Ox.Al,Ox.Fe,Ox.Mn,Ox.PSR,Ox.SPSC,sand,silt,clay,fines,Ox.PSC,Ox.DPS,Ox.P2Fe,WFPS,Ox.P2Al,Ox.Al2Fe,HCl.PSR,MM.P,MM.P.ICP,MM.K,MM.Mg,MM.Ca,MM.Al,MM.B,MM.Cu,MM.Fe,MM.Mn,MM.Na,MM.S,MM.Zn,IP2TP,FF,TP,Pi,Po,Pi2TP,site_ID,study,OBJECTID,IDN,sample_date,project,Land_Use,LU_HSG,Transect,TPMD,TOP,Total_Inorganic,F__N,F__C,pH,TEXTURE,HSG,Al,Ca,Cu,Fe,K,Mg,Mn,Na,S,F39,F40,F41,F42,Value,Hydrogroup,HSG_2,sampledate,sample_yr
NA,44.832175,-73.002153,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,20,NA,NA,NA,NA,NA,NA,0.0658930136544,618.4,2390.4,9744,1029.6,0.0759842068185914,1255.2154110985662,27.400000000000002,65.06666666666666,7.5,NA,8138.533333333333,NA,NA,NA,NA,NA,NA,0.8892248213333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1080.2756666666667,645.748156891995,434.5275097746715,0.5977623830818445,WWR-F,Perillo,47,58,20150617,USGS-VWRLSC-2014,Wetland,Wetland_C,Interior,1080.2756666666667,434.5275097746715,645.748156891995,0.314728485,3.8221005600000004,6.006666666666667,Silt loam,C,18257.86333333333,5134.803333333333,29.603333333333335,28032.36333333333,2439.193333333333,5905.316666666666,1523.8533333333335,286.94,661.0833333333334,NA,NA,NA,NA,5,B/D,D,2015-06-17,2015
GooA,43.9579333333333,-73.1531194444445,0,10,0,0,10,1,2020,NA,2020,2021.44722222222,1.4472222222223,1.0111793130166666,0.2642656184430887,2.4274814175197,1225.4669032157753,887.0280723630038,338.43883085277616,0.1152791706293855,758.0816999899857,1331.7511113993987,4159.834602097623,265.0942004315254,0.19800605475863403,123.70328963311161,16.53333333333333,71.36666666666666,12.133333333333335,83.46666666666667,3831.8131556514995,0.39601210951726684,0.32936561137715503,0.437910177004981,0.4965791903876463,0.6636235480198316,0.23165933015592355,9.578466739293763,12.892381949680797,207.66782219768993,249.68155336131068,1539.4818021373703,15.633516679212716,0.3152970879375299,2.428971995147234,52.148547592173834,35.87349534623338,156.54355416206255,30.048601528470048,2.6257142648363554,0.7240713111826262,1,1225.4669032157753,887.0280723630038,338.43883085277145,0.7240713111826262,GooA,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,44.906597,-73.042367,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,0,NA,NA,NA,NA,NA,NA,0.03883089076870667,926,2390,3056,178.29999999999998,0.20875657828818986,95.18663042535555,69.66666666666667,23.2,7.1000000000000005,NA,4435.78835978836,NA,NA,NA,NA,NA,NA,22.703333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1107.0365213333334,828.1739643131931,86.74730963613241,0.7480999482435561,CCR-F,Perillo,1,1,20150805,USGS-VWRLSC-2014,Corn,Corn_A,Interior,1107.0365213333334,86.74730963613241,828.1739643131931,0.18911886533333333,2.2523718543333335,6.6000000000000005,Sandy loam,A,10073.03039,6292.878879,30.81074648666667,13677.291896666668,1368.4423473333334,3179.7874506666667,340.1124777333333,188.59972213333333,335.51511913333337,NA,NA,NA,NA,7,A,A,2015-08-05,2015
NA,44.910706,-72.928308,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,0,NA,NA,NA,NA,NA,NA,0.07211422869324,601.224,2286.824,4734.4400000000005,220.48000000000002,0.11459605220808088,606.5924922962774,22.2,44.06666666666666,33.76666666666667,NA,5246.463455026455,NA,NA,NA,NA,NA,NA,15.118333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1175.1883333333333,688.0783726502323,268.7032312712031,0.5855047681579256,HTK-F,Perillo,55,39,20150626,USGS-VWRLSC-2014,Hay,Hay_D,Interior,1175.1883333333333,268.7032312712031,688.0783726502323,0.35014557533333335,4.182959901,7.338333333333334,Clay loam,D,23594.103333333333,8042.954000000001,40.55272,24312.773333333334,4752.512333333333,5672.081333333333,605.9679,367.3675333333333,624.5397666666667,NA,NA,NA,NA,1,D,D,2015-06-26,2015
NA,44.89465,-73.053225,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,0,NA,NA,NA,NA,NA,NA,0.049163838486293326,907.2,1972.8000000000002,5352,527.2,0.1735344323458738,296.3154931554203,21.8,58.46666666666666,19.733333333333334,NA,5227.780952380953,NA,NA,NA,NA,NA,NA,12.886666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1346.2706666666666,1043.4964100189256,543.8928402907222,0.7751014976821841,HWH-F,Perillo,37,41,20150617,USGS-VWRLSC-2014,Hay,Hay_C,Interior,1346.2706666666666,543.8928402907222,1043.4964100189256,0.272850351,2.8517307706666664,7.163333333333334,Silt loam,C,29222.676666666666,7098.303333333334,40.415,28013.569999999996,5736.38,7855.59,802.9366666666666,376.8866666666666,696.19,NA,NA,NA,NA,3,C/D,D,2015-06-17,2015
NA,44.883558,-72.813442,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,0,NA,NA,NA,NA,NA,NA,0.037233096407079995,460.024,1236.632,3027.88,295.456,0.14858730250611402,252.71922012793152,48.43333333333334,45.833333333333336,5.766666666666666,NA,3095.9845978835983,NA,NA,NA,NA,NA,NA,3.716666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1241.288,1031.254353228346,350.360879323576,0.8307937829322011,HTB-F,Perillo,17,37,20150708,USGS-VWRLSC-2014,Hay,Hay_B,Interior,1241.288,350.360879323576,1031.254353228346,0.195735498,2.159692367,6.023333333333333,Sandy loam,B,16351.476666666667,5229.64,22.323333333333334,23638.656666666666,2293.3766666666666,6099.833333333333,838.2433333333333,315.1566666666667,338.8666666666666,NA,NA,NA,NA,2,B,B,2015-07-08,2015
NA,44.912489,-72.964292,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,20,NA,NA,NA,NA,NA,NA,0.06117847389373334,620,2397,7150,607.2,0.09239738207417456,924.7788917082868,25.233333333333334,63.866666666666674,10.9,NA,6710.146825396826,NA,NA,NA,NA,NA,NA,2.0233333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1078.2002333333332,796.2294948681043,281.970738465229,0.7384801730254721,WSK-F,Perillo,21,54,20150629,USGS-VWRLSC-2014,Wetland,Wetland_B,Interior,1078.2002333333332,281.970738465229,796.2294948681043,0.2644126416666666,3.5486353766666667,6.026666666666666,Silt loam,B,21339.34,4054.94,28.876666666666665,28826.55,3029.976666666667,7457.536666666667,1107.9066666666668,384.8033333333333,518.2966666666666,NA,NA,NA,NA,1,D,D,2015-06-29,2015
Sa2,43.87,-73.1809,10,0,0,0,10,0,NA,1993,1993,2018.56111111111,25.5611111111111,0.167186087251036,0.781662713053386,0.298285573766883,1780,200.390625,1579.609375,0.645945945945946,500.199999999999,3340,6840,100,0.06563233512564075,1254.327317804843,NA,NA,NA,NA,7621.243386243386,0.131264670251281,0.132103376721373,0.13948298507879,0.130436546262314,1.01277886073207,0.0262936918353391,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11257900280898876,0,1780,200.390625,1579.609375,0.11257900280898876,Sa2,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,44.705097,-72.8286,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,20,NA,NA,NA,NA,NA,NA,0.10867729461509333,499.20000000000005,2484.8,6824,438.32,0.07528855393545898,1027.2406544998087,59.23333333333333,33.53333333333333,7.233333333333333,NA,6630.489947089947,NA,NA,NA,NA,NA,NA,0.6508583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,916.4074666666666,583.1545413357495,333.2529253309171,0.636348526771515,FBF-F,Perillo,9,15,20150521,USGS-VWRLSC-2014,Forest,Forest_B,Interior,916.4074666666666,333.2529253309171,583.1545413357495,0.6494753693333334,6.303787390666667,6.07,Sandy Loam,B,15848.623333333331,4274.645,32.71666666666667,25555.443333333333,2096.986666666667,6749.76,959,146.66,505.0566666666667,NA,NA,NA,NA,4,C,C,2015-05-21,2015
CVHFN,44.2642527777778,-73.0679388888889,10,1,0,0,11,0.0909090909090909,1993,2003,1993,2021.525,28.525,0.9427614769505432,0.2649620605,1.595731744,1244.54609836065,773.875205479452,470.670892881203,0.0622950819672077,525.75,1191.99999999999,3887.74999999999,260.249999999999,0.14932940598827832,284.7784197045983,NA,NA,NA,NA,3520.7399140211473,0.298658811976555,0.244290897172881,0,0.384153767049144,0.635919566920788,0.219804707072378,3.75,6.955,52.97,108.37,1131.01,39.17,0.145,0.59,24.06,6.625,12.28,6.34,2.3,0.6218132108556056,0.0909090909090909,1244.54609836065,773.875205479452,470.6708928811979,0.6218132108556056,CVHFN,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
