site_ID,lat,lon,count_n,count_y,count_c,count_h,count_obs,frac_farmed,last_yr_y,first_yr_n,last_yr_farmed,smpl.yr,YSF,BD,MC60,WEPw,TP.ign,HCl.Pi,HCl.Po,LOI,Ox.P,Ox.Al,Ox.Fe,Ox.Mn,Ox.PSR,Ox.SPSC,sand,silt,clay,fines,Ox.PSC,Ox.DPS,Ox.P2Fe,WFPS,Ox.P2Al,Ox.Al2Fe,HCl.PSR,MM.P,MM.P.ICP,MM.K,MM.Mg,MM.Ca,MM.Al,MM.B,MM.Cu,MM.Fe,MM.Mn,MM.Na,MM.S,MM.Zn,IP2TP,FF,TP,Pi,Po,Pi2TP,study,OBJECTID,IDN,sample_date,project,Land_Use,LU_HSG,Transect,TPMD,TOP,Total_Inorganic,F__N,F__C,pH,TEXTURE,HSG,Al,Ca,Cu,Fe,K,Mg,Mn,Na,S,F39,F40,F41,F42,Value,Hydrogroup,HSG_2,sampledate,sample_yr
LC.0,44.29485,-73.1733,7,2,0,0,9,0.222222222222222,2003,2006,2003,2019.51944444444,16.5194444444443,0.2778787354955105,0.6633331711633812,0.6279918826581421,1075.7220132688583,451.5184434328844,624.203569835973,0.2433264332738443,400.19650763720347,2031.529902983562,1746.0380555034008,22.0241493219163,0.12108195360572213,359.37471708393224,37.2999999999999,51.45,11.25,62.7000000000001,3299.054076743261,0.24216390721144299,0.415439608659685,0.244668977012106,0.17190772933549348,2.4259940366221038,0.1388047807722254,8.314066648832936,17.363855595664518,134.5824255410539,748.8875761895283,3170.2412575220133,14.011946447108956,0.4485554040025599,0.6754580816471084,15.852394160768092,10.362912850778741,52.1498446838489,38.0550453690292,4.245679502803496,0.42209531077214524,0.222222222222222,1075.7220132688583,451.5184434328844,624.2035698359739,0.42209531077214524,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De.1,43.78,-73.0999,4,5,0,0,9,0.555555555555555,2016,2003,2016,2018.53055555555,2.53055555555556,1.01336032806114,0.204097288198854,2.76069764969419,977.5,519.827586206896,457.672413793103,0.044950790779636,551.8,811.999999999999,2800,80.1999999999999,0.2222941720629048,19.662744596114663,NA,NA,NA,NA,2482.296296296295,0.444588344125809,0.355999999999999,0.334883640516609,0.591871921182266,0.601481481481481,0.209413995816093,5.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5317929270658782,0.555555555555555,977.5,519.827586206896,457.67241379310406,0.5317929270658782,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ML.FW,44.99193797,-72.87346481,0,13,0,0,13,1,2020,NA,2020,2020.77222222222,0.772222222222126,0.763193397579071,0.383663304694309,1.39921787054039,995.76135451505,195.742046979865,800.019307535184,0.177257525083603,431.271728504844,1257.17731792402,2001.21337056947,NA,0.1690439428206535,156.0629973834632,NA,NA,NA,NA,2551.2403538907047,0.338087885641306,0.389299572456605,0.411247579243135,0.298783439838657,1.30294896084878,0.0767242673475878,5.695,12.3799999999999,112.515,164.155,2151.375,30.93,0.19,0.78,12.835,9.34,27.895,20.205,8.115,0.19657525981734264,1,995.76135451505,195.742046979865,800.019307535185,0.19657525981734264,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MuF.1,44.57,-73.1587,6,3,0,0,9,0.333333333333333,2004,2006,2004,2018.43055555555,14.4305555555556,0.6,0.430850972507607,0.419645252056488,1012.5,580.078125,432.421875,0.0942957746478874,512.8,1401.99999999999,5760,171.6,0.10687173741886989,591.8366545800652,NA,NA,NA,NA,4798.275132275121,0.213743474837739,0.160824372759856,0.334172217701022,0.318567944411209,0.504835390946502,0.120893051984068,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5729166666666666,0.333333333333333,1012.5,580.078125,432.421875,0.5729166666666666,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Go.Fa,43.94186,-73.16339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCD.FN,43.7808944444444,-73.0989805555556,4,5,0,0,9,0.555555555555555,2016,2003,2016,2021.525,5.52500000000009,0.9223020255833333,0.29813653459910583,2.5412732072770736,1023.291117475485,706.8427417427097,316.4483757327761,0.05296715121318676,548.0349025237946,1021.3199650150465,3121.1058182710935,88.96587966124247,0.19028631707386792,116.6308466986144,27.066666666666666,65.43333333333334,7.5,72.93333333333334,2900.381633041684,0.38057263414773473,0.32394458305540574,0.43795742763722384,0.4666826644940139,0.690575501572061,0.24533990477428497,8.240369485564493,11.564061203016738,91.06903501427898,111.43796794165695,600.3282102529021,41.96754922512977,0.10899675166021226,1.5964167178587376,76.76949626643976,7.066616150226471,13.37202580074592,7.4634385681539,2.7998181706704344,0.690476203691406,0.555555555555555,1023.291117475485,706.8427417427097,316.4483757327753,0.690476203691406,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sa.1,43.86,-73.1805,10,0,0,0,10,0,NA,1993,1993,2018.56111111111,25.5611111111111,0.185440430015859,0.713697931546978,1.52510720785604,1897.5,66.25,1831.25,0.706827309236947,696.8,4420,15380,203.999999999999,0.05127773629939969,2431.537500523763,NA,NA,NA,NA,13588.743386243386,0.102555472598799,0.0818423591593607,0.142306722989915,0.137305502846299,0.596060299571352,0.00487535882582553,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03491436100131752,0,1897.5,66.25,1831.25,0.03491436100131752,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HKF-F,44.910786,-72.868792,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,0,NA,NA,NA,NA,NA,NA,0.0609817152966,688.5699999999999,1272.02,3304.6500000000005,370.09000000000003,0.20930278464612037,68.79877190797463,32,58.4,9.6,NA,3289.8272288359794,NA,NA,NA,NA,NA,NA,13.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1425.733,946.2043783350656,277.92367234099214,0.6636616942548609,Perillo,15,31,20150717,USGS-VWRLSC-2014,Hay,Hay_B,Interior,1425.733,277.92367234099214,946.2043783350656,0.309603471,3.5372224649999997,6.156666666666666,Silt loam,B,22378.75333333333,5453.613333333334,70.21333333333332,28687.543333333335,3957.4166666666665,8831.003333333334,1047.8333333333333,470.19,624.1733333333334,NA,NA,NA,NA,5,B/D,D,2015-07-17,2015
OCD.4,43.78135,-73.098,9,0,0,0,9,0,NA,1993,1993,2019.51944444444,26.5194444444443,0.5943195881036847,0.41362773384488216,0.1388228274057156,943.751359857318,259.7549630139079,683.9963968434123,0.18059922159706843,465.3343852451851,1751.8427429657263,5406.813216012384,347.7699119417566,0.09290828747927654,686.6252588767934,15.9899999999999,75.26,8.75,84.0100000000001,5004.432317189727,0.18581657495855225,0.1559386272057307,0.32237982773053403,0.23059508656810798,0.6729247159105429,0.051861053127169,3.4466178634138007,8.954525289872464,75.08036859244604,257.3883874119171,1925.696401242258,31.834045768519637,0.09045819571321354,0.44266650938652985,11.498467160680988,52.98859719525695,24.872106775164198,13.955642445525662,1.271622581817903,0.2717977243212685,0,943.751359857318,259.7549630139079,683.9963968434101,0.2717977243212685,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FBF-F,44.705097,-72.8286,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,20,NA,NA,NA,NA,NA,NA,0.10867729461509333,499.20000000000005,2484.8,6824,438.32,0.07528855393545898,1027.2406544998087,59.23333333333333,33.53333333333333,7.233333333333333,NA,6630.489947089947,NA,NA,NA,NA,NA,NA,0.6508583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,916.4074666666666,583.1545413357495,333.2529253309171,0.636348526771515,Perillo,9,15,20150521,USGS-VWRLSC-2014,Forest,Forest_B,Interior,916.4074666666666,333.2529253309171,583.1545413357495,0.6494753693333334,6.303787390666667,6.07,Sandy Loam,B,15848.623333333331,4274.645,32.71666666666667,25555.443333333333,2096.986666666667,6749.76,959,146.66,505.0566666666667,NA,NA,NA,NA,4,C,C,2015-05-21,2015
