BD_mean,ln_BD_mean,clay_mean,ln_clay_mean,FF,HCl.Pi_mean,HCl.Po_mean,HCl.PSR_mean,ln_HCl.Pi_mean,ln_HCl.Po_mean,ln_HCl.PSR_mean,LOI_mean,ln_LOI_mean,MM.MUP_mean,ln_MM.MUP_mean,MM.P_mean,ln_MM.P_mean,Ox.P_mean,Ox.Al_mean,Ox.Fe_mean,Ox.Mn_mean,Ox.PSR_mean,Ox.SPSC_mean,Ox.PSC_mean,Ox.P2Fe_mean,Ox.P2Al_mean,Ox.Al2Fe_mean,ln_Ox.P_mean,ln_Ox.Al_mean,ln_Ox.Fe_mean,ln_Ox.Mn_mean,ln_Ox.PSR_mean,ln_Ox.PSC_mean,ln_Ox.P2Fe_mean,ln_Ox.P2Al_mean,ln_Ox.Al2Fe_mean,sand_mean,ln_sand_mean,silt_mean,ln_silt_mean,TP.ign_mean,ln_TP.ign_mean,WEPw_mean,ln_WEPw_mean,YSF_mean,DO.mgl_mean,lnSRP,
0.807862777,-0.213363065,4.2,1.435084525,0.818181818,1573.124945,391.6407927,0.518536578,7.360819331,5.970345074,-0.656744709,0.101646911,-2.286250127,6.441666667,1.862787306,63.98833333,4.158700775,1206.144558,1118.003401,3147.380952,155.3656463,0.395369654,-510.1798057,1512.966852,0.686608389,0.932107164,0.736882289,7.095184236,7.019299696,8.054325942,5.045781347,-0.92793412,7.321827805,-0.37599118,-0.070307488,-0.305327115,50.96666667,3.931171824,44.9,3.804437795,1964.765737,7.5831283,18.90042565,2.939184443,3.525,0.591666667,0.571955059,1.7717275
0.807862777,-0.213363065,4.2,1.435084525,0.818181818,1573.124945,391.6407927,0.518536578,7.360819331,5.970345074,-0.656744709,0.101646911,-2.286250127,6.441666667,1.862787306,63.98833333,4.158700775,1206.144558,1118.003401,3147.380952,155.3656463,0.395369654,-510.1798057,1512.966852,0.686608389,0.932107164,0.736882289,7.095184236,7.019299696,8.054325942,5.045781347,-0.92793412,7.321827805,-0.37599118,-0.070307488,-0.305327115,50.96666667,3.931171824,44.9,3.804437795,1964.765737,7.5831283,18.90042565,2.939184443,3.525,2.875,0.740100739,2.096146667
0.888314036,-0.118429954,6.25,1.832581464,1,1236.382651,314.0377492,0.619504786,7.119945178,5.749513199,-0.478834852,0.040382128,-3.209367963,0.45,-0.798507696,212.75,5.360117767,860.0088112,628.0065731,2315.684368,235.7942205,0.42912676,-399.3323151,1001.470644,0.671315713,1.190771152,0.564443771,6.756942635,6.442550633,7.747460546,5.462959478,-0.846002927,6.909224842,-0.398515741,0.174601124,-0.571914509,53.33,3.976499025,40.42,3.699324712,1550.4204,7.346281399,14.792625,2.694128746,0,0.57,-0.384447533,0.680826667
0.888314036,-0.118429954,6.25,1.832581464,1,1236.382651,314.0377492,0.619504786,7.119945178,5.749513199,-0.478834852,0.040382128,-3.209367963,0.45,-0.798507696,212.75,5.360117767,860.0088112,628.0065731,2315.684368,235.7942205,0.42912676,-399.3323151,1001.470644,0.671315713,1.190771152,0.564443771,6.756942635,6.442550633,7.747460546,5.462959478,-0.846002927,6.909224842,-0.398515741,0.174601124,-0.571914509,53.33,3.976499025,40.42,3.699324712,1550.4204,7.346281399,14.792625,2.694128746,0,7.266666667,-0.459945317,0.631318167
0.896239205,-0.109547931,6.7,1.902107526,0.583333333,742.515889,286.0347197,0.246523281,6.61004427,5.656113201,-1.400298844,0.058660363,-2.835991027,2.233333333,0.803495238,1.566666667,0.44895022,399.4030994,886.7259683,3602.521133,329.5943747,0.132614242,293.4363768,1506.172774,0.200292878,0.392487125,0.510516094,5.989971181,6.787535992,8.189389194,5.797862731,-2.020310798,7.317327126,-1.607974596,-0.935251545,-0.672333116,30.93333333,3.431834351,62.43333333,4.134099321,1028.550609,6.935905914,0.592613236,-0.523213309,9.447222222,0.566,-2.521547398,0.0803352
0.896239205,-0.109547931,6.7,1.902107526,0.583333333,742.515889,286.0347197,0.246523281,6.61004427,5.656113201,-1.400298844,0.058660363,-2.835991027,2.233333333,0.803495238,1.566666667,0.44895022,399.4030994,886.7259683,3602.521133,329.5943747,0.132614242,293.4363768,1506.172774,0.200292878,0.392487125,0.510516094,5.989971181,6.787535992,8.189389194,5.797862731,-2.020310798,7.317327126,-1.607974596,-0.935251545,-0.672333116,30.93333333,3.431834351,62.43333333,4.134099321,1028.550609,6.935905914,0.592613236,-0.523213309,9.447222222,4.213333333,-3.955187411,0.019155078
0.9297295,-0.072861596,12.13333333,2.495956486,1,909.4850124,336.1863993,0.238442396,6.812878519,5.817665766,-1.433627524,0.077175665,-2.561671094,3.8,1.335001067,10.53333333,2.354544832,801.2239786,1320.514642,4148.516009,259.5674291,0.210200611,75.68468749,1906.323187,0.348829334,0.529084813,0.659585859,6.686140532,7.18577682,8.330505961,5.559016511,-1.559692914,7.552931633,-1.05317249,-0.636606533,-0.416143127,16.53333333,2.805378545,71.36666667,4.267830907,1245.671412,7.12742995,2.499153341,0.915952011,1.447222222,0.455,0.543856256,1.722637
0.9297295,-0.072861596,12.13333333,2.495956486,1,909.4850124,336.1863993,0.238442396,6.812878519,5.817665766,-1.433627524,0.077175665,-2.561671094,3.8,1.335001067,10.53333333,2.354544832,801.2239786,1320.514642,4148.516009,259.5674291,0.210200611,75.68468749,1906.323187,0.348829334,0.529084813,0.659585859,6.686140532,7.18577682,8.330505961,5.559016511,-1.559692914,7.552931633,-1.05317249,-0.636606533,-0.416143127,16.53333333,2.805378545,71.36666667,4.267830907,1245.671412,7.12742995,2.499153341,0.915952011,1.447222222,4.498333333,-0.099125181,0.905629333
0.40418467,-0.905883401,39.16666667,3.667826045,0.4,575.1103506,938.575905,0.079238013,6.354561936,6.844363732,-2.535299129,0.231817063,-1.46180674,5.4,1.686398954,1.833333333,0.606135804,827.5832731,2976.106864,6936.66096,375.9651391,0.114335468,841.5149743,3628.474451,0.217572782,0.241960741,0.900872185,6.718509734,7.998371304,8.844575808,5.929496424,-2.16861845,8.196567577,-1.525221853,-1.418979795,-0.104391891,1.566666667,0.44895022,59.26666667,4.082047034,1513.686256,7.322303184,0.632234416,-0.458495042,5.447222222,0.83,-2.001432901,0.1351415
0.40418467,-0.905883401,39.16666667,3.667826045,0.4,575.1103506,938.575905,0.079238013,6.354561936,6.844363732,-2.535299129,0.231817063,-1.46180674,5.4,1.686398954,1.833333333,0.606135804,827.5832731,2976.106864,6936.66096,375.9651391,0.114335468,841.5149743,3628.474451,0.217572782,0.241960741,0.900872185,6.718509734,7.998371304,8.844575808,5.929496424,-2.16861845,8.196567577,-1.525221853,-1.418979795,-0.104391891,1.566666667,0.44895022,59.26666667,4.082047034,1513.686256,7.322303184,0.632234416,-0.458495042,5.447222222,7.073333333,-3.717429832,0.024296333
